geometry,repeat,nominal_level,method,covered,mean_halfwidth,max_halfwidth,mean_width_over_sigma,max_width_over_sigma,strict_inside_noise,extra_radius_required,mean_empirical_sampling_variance,mean_noise_only_variance,mean_pre_smoothing_empirical_contraction_variance,mean_pre_smoothing_noise_only_variance
circle,2,0.8,sampling_only,0,0.02685031650787063,0.03722576874728867,0.44750527513117716,0.6204294791214778,1,0.002474823934007865,4.578535671621932e-05,3.411103684715864e-05,5.318148630579633e-05,3.986275468896935e-05
circle,2,0.8,sampling_plus_direction_additive,1,0.03601266483405235,0.07261127826701694,0.6002110805675391,1.210187971116949,1,0.0,4.578535671621932e-05,3.411103684715864e-05,5.318148630579633e-05,3.986275468896935e-05
circle,2,0.8,sampling_plus_direction_rss,0,0.028512248461806878,0.05226597570052381,0.47520414103011466,0.8710995950087302,1,0.0003338968100473627,4.578535671621932e-05,3.411103684715864e-05,5.318148630579633e-05,3.986275468896935e-05
circle,2,0.9,sampling_only,0,0.02793790212083429,0.03873361728639977,0.46563170201390486,0.6455602881066629,1,0.0015583450699274935,4.578535671621932e-05,3.411103684715864e-05,5.318148630579633e-05,3.986275468896935e-05
circle,2,0.9,sampling_plus_direction_additive,1,0.03747137598729021,0.07555243471703345,0.6245229331215035,1.259207245283891,1,0.0,4.578535671621932e-05,3.411103684715864e-05,5.318148630579633e-05,3.986275468896935e-05
circle,2,0.9,sampling_plus_direction_rss,1,0.02966715146681304,0.05438303540828313,0.494452524446884,0.9063839234713856,1,0.0,4.578535671621932e-05,3.411103684715864e-05,5.318148630579633e-05,3.986275468896935e-05
circle,2,0.95,sampling_only,0,0.028988337515829344,0.04018996008543494,0.4831389585971558,0.6698326680905824,1,0.0006731716857637134,4.578535671621932e-05,3.411103684715864e-05,5.318148630579633e-05,3.986275468896935e-05
circle,2,0.95,sampling_plus_direction_additive,1,0.03888025985645031,0.0783931258777932,0.6480043309408384,1.30655209796322,1,0.0,4.578535671621932e-05,3.411103684715864e-05,5.318148630579633e-05,3.986275468896935e-05
circle,2,0.95,sampling_plus_direction_rss,1,0.030782604797368593,0.05642777967838095,0.5130434132894766,0.9404629946396826,1,0.0,4.578535671621932e-05,3.411103684715864e-05,5.318148630579633e-05,3.986275468896935e-05
circle,2,0.99,sampling_only,1,0.03130252767188484,0.04339839554508106,0.521708794531414,0.7233065924180178,1,0.0,4.578535671621932e-05,3.411103684715864e-05,5.318148630579633e-05,3.986275468896935e-05
circle,2,0.99,sampling_plus_direction_additive,1,0.04198413963484549,0.08465138750144596,0.6997356605807582,1.4108564583574328,1,0.0,4.578535671621932e-05,3.411103684715864e-05,5.318148630579633e-05,3.986275468896935e-05
circle,2,0.99,sampling_plus_direction_rss,1,0.03324003447787088,0.06093250894022533,0.5540005746311815,1.0155418156704221,1,0.0,4.578535671621932e-05,3.411103684715864e-05,5.318148630579633e-05,3.986275468896935e-05
circle,3,0.8,sampling_only,1,0.02643434920780898,0.03623782921708517,0.4405724867968164,0.6039638202847528,1,0.0,4.42784250451158e-05,3.49345969562198e-05,5.144255980169444e-05,4.047147329388753e-05
circle,3,0.8,sampling_plus_direction_additive,1,0.0364757260710835,0.10390026444526645,0.6079287678513917,1.7316710740877743,1,0.0,4.42784250451158e-05,3.49345969562198e-05,5.144255980169444e-05,4.047147329388753e-05
circle,3,0.8,sampling_plus_direction_rss,1,0.028643125111056458,0.07956350988600151,0.47738541851760763,1.3260584981000252,1,0.0,4.42784250451158e-05,3.49345969562198e-05,5.144255980169444e-05,4.047147329388753e-05
